0,Abbotsford-Huntingdon,8989,49.003004,-122.265222
1,Aldergrove,9221,49.002897,-122.485031
2,Ambassador Bridge,36,42.311953,-83.073874
3,Blue Water Bridge,0,42.998585,-82.423287
4,Boundary Bay,18240,49.002152,-123.068369
5,Cornwall,24044,45.010799,-74.736135
6,Coutts,0,48.998835,-111.958653
7,Douglas (Peace Arch),215,49.004951,-122.757498
8,Edmundston,0,47.362187,-68.327817
9,Emerson,0,49.000719,-97.237133
10,Fort Frances Bridge,0,48.608664,-93.399372
11,North Portal,0,48.999232,-102.554195
12,Pacific Highway,12000,49.003002,-122.734128
13,Peace Bridge,6694,42.906982,-78.905932
14,Prescott,155,44.745296,-75.470347
15,Queenston-Lewiston Bridge,23085,43.152961,-79.043916
16,Rainbow Bridge,11220,43.090168,-79.06719
17,Sault Ste. Marie,0,46.519126,-84.34926
18,St-Armand/Philipsburg,12101,45.016196,-73.083862
19,St-Bernard-de-Lacolle,7316,45.009329,-73.451689
20,St. Stephen,22878,45.19245,-67.282785
21,St. Stephen 3rd Bridge,26132,45.160918,-67.308679
22,Stanstead,0,45.006485,-72.08688
23,Thousand Islands Bridge,71,44.348388,-75.982943
24,Windsor and Detroit Tunnel,7919,42.323739,-83.04024
25,Woodstock Road,0,46.137909,-67.777711
